R�gion,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Boucle de Mouhoun,,,,,,,,,7435,225,1412,5196,559
Cascades,,,,,,,,,-    ,730,694,1480,401
Centre,,,,,,,,,686,107,151,163,119
Centre Est,,,,,,,,,2046,856,779,2962,389
Centre Nord,,,,,,,,,304,495,693,800,149
Centre Sud,,,,,,,,,4382,415,648,847,325
Cntre Ouest,,,,,,,,,3158,898,412,296,264
Est,,,,,,,,,1777,111,578,2574,393
Haut bassins,,,,,,,,,7999,1367,894,2291,769
Nord,,,,,,,,,227,546,510,1153,48
Plateau Central,,,,,,,,,441,539,305,315,156
Sahel,,,,,,,,,115,237,323,99,104
Sud Ouest,,,,,,,,,840,259,566,490,290
